Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
,Bosnia-Herzegovina,,,,,,,,,,,,,9,,,,,,,,,14,,3,,,,,,,,,2,,27,0%
,Brazil,61,82,52,21,54,,,,18,,,,20,,10,1,43,53,45,38,143,32,33,30,30,52,123,29,90,21,71,77,2,,1228,0.3%
,Brunei,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,,,,,,,36,0%
,Bulgaria,,,53,28,11,1,21,6,41,94,6,,25,38,19,68,,8,4,13,4,,13,8,8,81,83,33,14,10,3,7,34,,735,0.2%
,Canada,41,14,73,79,74,90,83,83,32,26,50,10,5,14,20,6,21,23,35,15,25,68,79,95,139,267,71,22,92,191,105,98,99,45,2189,0.5%
,Chile,,,,,,,29,,1,,1,,1,,,,,,100,,,,,,,,,,,,,,8,,140,0%
,China,919,1098,483,1429,1067,975,762,425,339,322,307,517,525,701,401,355,704,471,579,1101,1474,1228,1486,2061,1313,1814,2434,1612,1346,1586,693,1303,1923,2429,36181,8.2%
,Colombia,,,,,,,,,,,,,,,,,,,,,,,0,,,,,10,,10,4,,,,25,0%
,Costa Rica,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,3,0%
,Croatia,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Cyprus,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0%
,Czechia,,,,195,314,71,81,24,8,54,76,19,59,64,1,39,0,28,33,17,2,0,0,30,19,134,113,21,18,12,11,4,14,13,1476,0.3%
,Czechoslovakia,1,373,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,0.1%
,Denmark,36,,,,3,,,,,3,,,,2,,,,5,,2,,17,7,,13,15,5,5,7,2,,5,36,39,202,0%
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0,,4,0%
,Egypt,25,,15,28,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,5,182,0%
,Eritrea,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0%
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,Ethiopia,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0%
,European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0%
,Finland,,,,,,3,,,,,1,1,2,6,6,,68,,5,3,3,,7,5,18,8,36,6,,,,,,,177,0%
,FMLN (El Salvador)*,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,France,1286,751,447,253,229,334,682,906,792,980,532,313,795,959,1724,1264,923,677,1255,1255,371,1238,609,1044,1094,1598,1598,1880,1490,2946,1741,3171,2183,1245,38566,8.7%
,Georgia,,,,,,,,,,46,69,,,,16,,,,,,,,,,,,6,7,,,,,,,144,0%
,Germany,623,401,329,246,704,298,241,173,158,108,346,159,91,168,51,422,725,991,641,450,562,573,258,236,477,358,1346,764,422,327,506,624,492,1456,15724,3.6%
,Ghana,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19,0%
,Greece,,,15,10,,,19,31,7,,2,,,6,,13,23,,,,,,,,,,,,,,,,,,126,0%
,Hungary,,,,21,,6,,24,,,,,34,,,82,,9,,,,,,41,,,,,,,,,,,216,0%
,India,7,0,7,9,2,2,0,0,0,0,21,2,0,4,31,19,33,23,15,27,5,3,,18,40,42,49,56,47,20,153,22,7,30,693,0.2%
,Indonesia,,,,18,18,27,,9,,54,,,,,27,9,9,,1,,,4,,,,,85,94,15,9,,17,,,396,0.1%
,Iran,,,,,,,,,,,,,,9,,2,69,,63,65,65,103,31,16,52,15,5,,,,0,,,51,545,0.1%
,Ireland,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,5,0%
,Israel,28,51,7,30,243,90,200,148,114,85,236,174,203,224,300,352,275,219,63,271,389,380,249,221,227,371,973,1001,985,309,219,292,482,960,10367,2.4%
,Italy,87,149,40,18,43,98,43,236,107,282,70,58,157,77,135,456,311,361,138,350,309,656,274,623,346,359,233,444,266,151,669,1251,1390,910,11099,2.5%
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,13,19,0%
,Jordan,,,,,29,,,6,,,,,,,43,22,,13,,28,117,,21,33,114,16,1,9,,80,,6,,11,548,0.1%
,Kazakhstan,,,,,,7,12,3,5,13,19,13,,,,,,,,,,,,,,,,,,,,,,,72,0%
,Kenya,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Kyrgyzstan,,,,,,57,,,,,,,,76,,,18,18,,,,,,,,4,5,5,,,,,,,183,0%
,Latvia,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0%
,Lebanon,,1,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,49,0%
,Libya,36,,,,3,,,3,10,,,,21,16,113,113,18,9,17,32,27,0,,,,,,,,,,,,,417,0.1%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,13,,73,0%
,Luxembourg,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0%
,Malawi,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Malaysia,,,,,,0,,,,11,,,,,,,,,,0,,,,15,15,,,,,1,,,,,43,0%
,Malta,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,,,,,,,15,0%
,Mexico,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,0%
,Moldova,,,,,,,,,,,6,42,60,13,,18,3,19,29,20,,,,,,,,,,,,,,,211,0%
,Montenegro,,,,,,,,,,,,,,,,,71,109,,,,,,,,,,1,,,,,,,181,0%
,Netherlands,194,206,133,165,282,225,358,390,357,298,209,57,16,,42,200,386,686,193,255,123,438,578,165,348,236,256,770,267,51,133,188,158,150,8512,1.9%
,New Zealand,,,3,,3,,,,,1,1,,1,,1,0,,,,,,,,,,1,6,,7,,,,29,9,62,0%
,Nicaragua,,,74,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0%
,Nigeria,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,3,,8,0%
,North Korea,5,84,97,103,20,32,37,37,59,42,40,53,150,129,42,15,15,15,15,22,6,,,,,,,,,,,,,,1014,0.2%
,Norway,,,,,,,,,,,,,,,,,,,,2,,,,13,15,31,75,75,,,15,68,5,,299,0.1%
,Oman,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0%
,Pakistan,82,3,,,2,,,,,,4,,9,8,9,25,4,,1,,,,,,,,1,3,3,1,,53,,1,208,0%
,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Peru,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,15,0%
,Philippines,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0%
,Poland,36,22,17,,133,177,8,15,1,64,46,81,56,73,39,18,282,155,73,67,20,,15,26,32,,4,,5,6,,,6,,1476,0.3%
,Portugal,,,,1,,,,,,,,,,,,,,,24,,,0,0,,,,,,3,3,,,,,31,0%
,Qatar,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,14,,,67,0%
,Romania,,4,7,16,24,,5,2,,,3,,,24,,3,8,32,,2,1,0,,0,,,,,,,,,,,130,0%
,Russia,,,1166,1378,1094,2783,1699,2168,1720,2220,1707,2419,3223,3020,3194,1714,2398,4038,4406,3870,5153,7855,7490,7048,4680,4552,5587,4868,4946,3138,2349,1667,1799,796,106145,24%
,Saudi Arabia,,,,12,,,1,,,,,,,,,,,,,,1,,,,,3,5,,,,,,,3,25,0%
,Serbia,,,,,,,20,5,,,,15,,,,,5,5,45,0,31,4,15,10,10,62,86,11,27,,15,2,,,368,0.1%
,Seychelles,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Singapore,19,3,3,,9,,1,12,,,1,,4,,65,,,,,34,7,7,79,4,8,80,77,,,,,,36,11,459,0.1%
,Slovakia,,,,170,40,97,62,58,8,124,37,54,32,,,,3,6,9,,,,5,1,8,3,20,22,12,8,11,,,,789,0.2%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0%
,South Africa,,54,75,54,13,9,30,6,21,19,13,37,17,41,57,3,91,43,33,17,93,63,182,85,47,65,77,87,75,78,72,57,51,31,1697,0.4%
,South Korea,72,118,,60,7,27,24,25,32,,10,230,,96,5,5,10,174,6,94,16,138,22,206,173,88,425,554,647,505,561,458,23,23,4833,1.1%
,Soviet Union,7704,4762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12466,2.8%
,Spain,104,23,8,32,64,8,32,544,66,28,19,8,,47,13,76,400,41,46,369,79,327,134,192,175,339,456,124,44,113,86,13,669,300,4976,1.1%
,Sri Lanka,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11,0%
,Sweden,119,46,9,15,6,191,49,89,12,28,235,157,9,23,8,4,13,13,143,190,471,523,258,262,234,84,136,20,44,85,165,120,20,5,3784,0.9%
,Switzerland,213,151,170,133,131,133,165,15,19,13,17,65,6,5,9,18,19,52,168,54,49,120,46,51,199,349,131,91,35,30,90,18,26,22,2809,0.6%
,Syria,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0%
,Taiwan,,,,,,,2,,,,,,,,,,,,,16,,,2,,,4,2,2,,,2,,,,31,0%
,Thailand,,,,,,,,,,,,,,7,7,,79,,,,,,,,,,2,2,,1,,3,,,102,0%
,Turkiye,,,,,,3,3,0,,41,16,,27,43,28,25,67,79,94,48,66,90,143,139,149,209,243,176,248,227,264,467,325,518,3736,0.8%
,UAE,2,,,,,26,,,,,,,,,3,11,17,3,,34,39,3,70,99,48,123,67,81,100,93,194,49,7,14,1081,0.2%
,Ukraine,,,7,13,201,158,187,520,663,684,227,313,243,260,138,111,186,170,220,303,461,554,743,383,297,151,253,195,124,87,38,49,30,22,7989,1.8%
,United Kingdom,1090,860,390,672,913,600,845,1518,921,719,432,225,225,384,274,218,365,428,479,578,767,579,298,1200,1520,978,1051,999,417,378,245,350,888,603,22408,5.1%
,United States,2408,1685,2919,4282,3495,3573,4340,4986,3852,2392,1961,1345,1346,1026,1876,3072,2586,2454,2034,2667,3571,4283,4204,5074,5488,5768,5389,6293,5360,5548,3671,4792,7390,3472,124605,28%
,unknown supplier(s),6,7,3,20,4,1,17,10,3,2,9,12,5,11,13,8,8,0,36,9,7,6,4,1,22,6,5,5,8,9,4,40,47,86,431,0.1%
,Uruguay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Uzbekistan,,,,,,,,,,,,,,252,126,,,,,209,209,209,,,,,,,,,,,,,1005,0.2%
,Venezuela,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,,,,,,,51,0%
,Viet Nam,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10,,,,,,24,0%
,Yugoslavia,80,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,0.1%
,Zambia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
NATO,Regional total,5627,7846,8229,7092,7390,5457,4902,5195,6936,4410,5159,4760,4297,5632,4716,4595,5742,8019,6041,6505,5378,4502,5012,3687,3817,3561,3247,4105,3144,4154,4865,5486,6133,7285,182922,100%
,Australia,,,,,18,24,,,,,,42,30,30,2,,17,36,39,12,,96,30,30,60,30,61,65,30,75,150,107,,30,1013,0.6%
,Austria,18,20,20,10,17,,,,1,11,7,2,2,,2,3,60,62,11,38,43,43,19,14,2,,12,20,4,1,6,,1,,447,0.2%
,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0%
,Belgium,,,,,,,,66,,,,,,,,132,,,80,105,2,1,1,21,,,,,5,,,64,36,,514,0.3%
,Brazil,46,46,46,19,,38,27,27,,,,,,,,,,,48,,,,,,,,,7,5,,92,9,5,54,466,0.3%
,Bulgaria,,,,,,,,,,0,0,,3,7,,,,,,,,,,,15,,,,,,,,,,25,0%
,Canada,19,49,27,35,76,136,41,8,5,20,14,67,126,184,160,152,139,272,159,118,122,177,164,63,12,38,8,3,14,8,3,21,42,64,2543,1.4%
,China,,,,,,,,,7,7,7,,7,7,14,14,28,35,35,35,35,35,35,,,,,13,,,,,,,315,0.2%
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,0%
,Czechia,,,,,,,,,,,,,,,,12,,,,3,3,,,6,,4,24,52,28,,0,1,1,,134,0.1%
,Denmark,44,,,183,246,16,,,,,,,,,,,5,1,8,8,8,10,10,3,,3,16,8,18,,,,,,585,0.3%
,DR Congo,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0%
,Finland,,11,6,3,6,12,3,,15,18,11,12,18,11,11,38,53,55,48,60,63,64,92,50,51,15,16,22,37,25,12,15,40,22,916,0.5%
,France,213,113,377,178,260,340,290,246,268,338,247,321,299,116,97,65,146,1025,138,215,240,301,255,325,244,222,180,146,152,158,462,566,518,496,9556,5.2%
,Germany,687,1456,623,919,1214,890,872,123,1118,420,513,96,447,859,561,1088,1414,1690,1097,903,1549,326,343,312,559,955,724,582,283,274,226,131,237,740,24231,13%
,Greece,,,,,18,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,48,0%
,Israel,2,40,87,117,63,81,63,63,46,5,78,220,199,154,142,118,92,331,211,417,205,134,147,126,115,124,152,151,138,63,147,267,362,174,4835,2.6%
,Italy,25,142,161,167,143,151,229,200,298,96,53,119,151,240,70,316,190,264,247,138,249,231,355,180,164,135,181,186,192,201,116,319,230,363,6498,3.6%
,Japan,,54,101,122,130,126,165,25,,,,,,,,,,40,,,,,,,,,,,,,,,,,763,0.4%
,Jordan,,,,,36,,,,,,,,,,,,,,,,,,,,,,17,71,,,66,66,51,,306,0.2%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,14,0%
,Lithuania,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,0%
,Moldova,,,,,,,,217,,,,,,,,,,,,,,12,,,,,,,,,,,,,229,0.1%
,Mujahedin (Afghanistan)*,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,159,222,213,233,296,196,126,163,121,13,22,142,201,262,123,276,755,409,249,249,232,103,263,220,275,172,169,182,149,211,103,160,95,84,6846,3.7%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,75,0%
,Norway,33,107,11,35,40,8,4,13,,3,2,5,66,67,61,3,16,50,102,137,148,143,133,71,60,78,21,40,59,30,42,44,18,148,1795,1%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,0%
,Peru,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Poland,,,,,,,,,,,,,,,,,,,,8,8,8,17,121,1,2,1,7,2,,,,2,8,184,0.1%
,Portugal,,,,,,,,,,,,,,,,,,,,46,,,,,18,,172,56,,,46,11,,,349,0.2%
,Romania,,,,,,,,,,19,,,,,,,,,,,,,,216,,,,,,,,,,,235,0.1%
,Russia,,,29,24,7,46,102,,138,443,322,159,55,84,82,245,84,,20,22,78,15,17,,7,,,,,281,32,31,,,2322,1.3%
,Saudi Arabia,,,,,,,,,,,,,,,,,18,,,,,62,,,,,,,,,,,,,80,0%
,Singapore,,,,,,,,23,23,,,,,,,,,,,,20,9,,,,,,,,,24,72,,,171,0.1%
,South Africa,,,,,,,1,1,,2,,,,1,15,26,68,76,78,85,137,10,,,,,,,,16,40,40,,,596,0.3%
,South Korea,,,,,,,,,,,,,,,69,104,104,104,104,130,161,190,180,144,47,6,12,148,393,168,103,41,167,592,2969,1.6%
,Spain,8,45,54,54,67,81,81,90,108,18,18,,18,52,38,38,448,507,549,561,113,566,81,233,283,73,,159,162,180,361,359,290,490,6180,3.4%
,Sweden,87,88,106,79,100,27,37,6,49,78,102,209,39,43,73,406,274,254,298,179,152,135,193,48,51,60,100,50,83,87,68,69,39,123,3791,2.1%
,Switzerland,211,267,238,91,40,1,27,50,41,73,104,84,101,126,151,167,222,179,170,118,134,140,123,76,69,68,18,,93,47,62,95,159,71,3614,2%
,Turkiye,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,24,46,75,0%
,UAE,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,0%
,Ukraine,,,,,,,,,,0,0,63,,50,3,6,58,0,,,,,,4,5,,8,,,,,,,,197,0.1%
,United Kingdom,327,367,375,494,481,616,439,529,387,457,928,734,636,234,793,606,435,317,368,381,276,259,308,149,,78,52,50,70,422,350,264,402,387,12970,7.1%
,United States,3750,4819,5754,4310,4133,2666,2355,3325,4311,2388,2730,2474,1891,3105,2250,783,1116,2311,1968,2537,1378,1435,2162,1277,1781,1499,1305,2053,1229,1907,2354,2730,3413,3389,86886,47%
,unknown supplier(s),,,,20,,,40,,,1,1,3,6,,,,,,,,22,,9,,,0,,,,,,,,,102,0.1%
,Zimbabwe,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
North Africa,Regional total,885,1117,71,120,349,394,240,298,117,448,533,550,450,217,265,429,404,550,1575,1124,1184,2555,1613,580,1354,987,3254,1844,1940,293,819,238,833,834,28465,100%
,Austria,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,0,,,,,,4,0%
,Belarus,,,,,,,,28,,234,177,23,23,,,,,,,,,,,,,14,,,,,,,,,499,1.8%
,Belgium,,,,,,,,,,,,,,,,,,,19,36,,,,,,,,,,,,,,,55,0.2%
,Canada,,,,,,,,,,,,,,,,3,6,,,,,7,1,,,,,,,,,,1,3,21,0.1%
,China,45,80,,,27,5,,,,,10,11,14,,,,66,,,,233,34,34,,158,243,495,143,139,24,3,,7,191,1960,6.9%
,Czechia,,,,,26,33,64,7,,,,,32,36,,,,,,,,,,,,,,,,,,,,,196,0.7%
,Czechoslovakia,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0.2%
,Denmark,36,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,46,0.2%
,Egypt,,,13,13,13,12,,,,,,,,,,,,,,,,,,,7,21,,,,5,,,,,84,0.3%
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,0%
,France,14,19,17,,,31,55,83,,3,,5,155,,,12,2,,10,55,65,751,37,10,548,,38,53,50,52,39,52,141,5,2301,8.1%
,Germany,,,24,,,5,,6,,,,,5,,,168,,,,,,,,9,18,14,563,36,48,48,48,48,49,66,1154,4.1%
,Israel,,,,,,,,,,,,,,12,14,14,,,,,,,,,,,,,,,,,,115,155,0.5%
,Italy,,20,,,,,,,,,,,,,,,3,3,,19,65,76,13,57,198,30,39,58,,,58,,58,,696,2.4%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,1,2,,,,,12,0%
,Netherlands,,,,,,,,,,,,,,,,,,,,,,152,362,,,13,25,,148,,,,,,699,2.5%
,North Korea,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,0%
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,30,0.1%
,Qatar,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2,,,2,0%
,Russia,,,,,167,238,46,,,83,243,385,101,154,246,162,242,543,1531,1003,701,988,650,340,313,545,1592,1005,1136,,635,80,175,75,13377,47%
,Saudi Arabia,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0%
,Slovakia,,,,,,48,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0.2%
,South Africa,,,,,,,,,1,1,11,11,,,,,,,13,1,,,,0,,2,9,9,,,,,,,55,0.2%
,Soviet Union,671,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,5.5%
,Spain,63,,,,,,,,,,,,,,,25,50,,,,,,,,,,,,,,1,,,,139,0.5%
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11,0%
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,103,0.4%
,Switzerland,,,,,,,,,1,,,,,,,18,,,,,,,,,,,,,,,,,,,18,0.1%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,7,,18,21,,33,2,49,15,6,149,0.5%
,UAE,,,,,,,,,,,,,,,,,,,,,,,70,60,12,6,26,14,36,61,4,,3,,290,1%
,Ukraine,,,,,,,4,,87,103,63,41,18,5,5,18,5,4,,8,19,38,7,,3,,,,,,5,,,,434,1.5%
,United Kingdom,,9,9,9,,,,9,9,,,9,,9,,9,9,,,,47,42,5,,,38,38,,4,,,,,,257,0.9%
,United States,56,43,8,86,117,24,60,162,18,18,29,67,102,1,,,22,,3,3,54,465,433,85,52,57,310,504,378,66,26,8,387,374,4017,14%
,unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,2,,,,,4,0%
North America,Regional total,513,1268,948,1170,1431,1196,1007,961,376,412,903,1027,933,745,927,653,764,1314,1409,1093,1293,1340,1431,998,911,920,687,868,536,1070,1023,1134,904,707,32868,100%
,Australia,,,,,18,24,,,,,,42,30,30,2,,9,34,26,,,96,30,30,60,30,60,60,30,75,150,105,,30,970,3%
,Austria,,,,,,,,,,,2,2,,,,,3,3,,3,1,1,,,,,,,,,,,,,15,0%
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,36,,90,0.3%
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,14,0%
,Bulgaria,,,,,,,,,,,,,3,7,,,,,,,,,,,6,,,,,,,,,,16,0%
,Canada,,13,,7,57,106,,2,3,0,5,21,112,172,124,124,139,144,154,110,109,156,154,57,11,8,3,,,,,6,31,60,1888,5.7%
,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,40,28,,,,,,84,0.3%
,Denmark,,,,183,246,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,430,1.3%
,France,44,46,45,36,21,63,43,21,18,17,,,,1,,2,15,28,48,74,67,70,88,91,72,54,58,42,16,95,114,66,86,44,1483,4.5%
,Germany,22,117,10,73,5,,,,,41,38,31,,,,,19,94,137,156,163,177,202,176,114,185,95,169,88,127,49,32,59,69,2445,7.4%
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,30,0.1%
,Israel,1,39,86,109,55,73,55,61,41,,72,144,104,87,96,61,53,37,14,19,25,15,25,35,35,40,55,78,75,41,44,123,141,26,1961,6%
,Italy,12,74,69,54,59,109,163,163,54,54,8,39,100,63,6,,,,16,16,80,80,80,16,48,,,,,,17,61,108,110,1657,5%
,Japan,,54,101,122,130,126,90,25,,,,,,,,,,40,,,,,,,,,,,,,,,,,688,2.1%
,Jordan,,,,,36,,,,,,,,,,,,,,,,,,,,,,17,71,,,66,66,51,,306,0.9%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,14,0%
,Moldova,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.7%
,Mujahedin (Afghanistan)*,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,18,40,43,18,100,18,23,24,24,,,,,,,,,4,26,8,,13,78,94,138,135,137,92,92,140,46,156,77,62,1605,4.9%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,75,0.2%
,Norway,,6,6,20,33,,,,,3,2,1,1,,10,,4,50,100,100,142,75,107,50,50,50,7,25,45,15,5,17,18,76,1015,3.1%
,Peru,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Poland,,,,,,,,,,,,,,,,,,,,8,8,8,17,121,,,,,,,,,,,162,0.5%
,Russia,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,17,0.1%
,Saudi Arabia,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,18,0.1%
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,72,,,96,0.3%
,South Africa,,,,,,,1,,,0,,,,1,1,26,68,76,78,68,117,5,,,,,,,,16,40,40,,,537,1.6%
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,41,0.1%
,Spain,8,,,,,,,,,,,,,,,,,34,51,51,34,34,34,17,51,,,,,29,180,113,63,,698,2.1%
,Sweden,,,10,15,35,18,18,,,,,,,,15,,,,5,,13,,5,,33,30,33,15,48,77,55,61,13,38,532,1.6%
,Switzerland,152,202,184,41,,,21,21,19,50,75,84,101,124,139,160,162,122,95,91,105,91,83,66,51,42,15,,,,,,,13,2308,7%
,Ukraine,,,,,,,,,,,,,,50,,2,,,,,,,,,,,,,,,,,,,52,0.2%
,United Kingdom,237,252,277,357,324,335,242,168,152,143,538,572,440,154,465,188,207,246,295,286,198,189,236,76,,24,48,24,24,376,180,116,174,168,7710,23%
,United States,19,426,119,114,312,325,312,258,66,104,164,84,38,57,71,90,68,401,350,102,210,331,191,170,202,316,147,222,90,80,54,39,44,14,5589,17%
,unknown supplier(s),,,,20,,,40,,,,,3,6,,,,,,,,22,,9,,,,,,,,,,,,100,0.3%
Not applicable,Regional total,0,14,11,33,54,20,3,0,4,39,30,20,0,0,2,57,127,1,22,420,8,6,22,39,57,18,53,42,53,121,501,247,253,3,2278,100%
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,0%
,Belgium,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,0.1%
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,0%
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,6,0.3%
,Canada,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,13,0.6%
,China,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0%
,Czechia,,,,,,,,,,,,,,,,,,1,0,,,,,,,,12,12,,,,,,2,27,1.2%
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,0.1%
,Finland,,3,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,25,1.1%
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,196,196,,688,30%
,Germany,,,,5,54,5,,,,18,,19,,,,,,,,,,,,,,,,,,,,,,,101,4.4%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,1,8,0.4%
,Israel,,,,,,1,,,,,,,,0,,,,,12,,5,5,,13,3,3,19,,5,,,4,5,,76,3.3%
,Italy,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,0,0,,,3,1,,11,0.5%
